name,brand,price,link,color01
【PAMAX 帕瑪斯】★帕瑪斯銀纖維氣墊鞋墊★日本專利 『銀纖維氣墊』抗菌防臭 ★(AIR001 /男女),PAMAX ,299,https://m.momoshop.com.tw/goods.momo?i_code=3389382&mdiv=searchEngine&oid=13_16&kw=%E5%A5%B3%E9%9E%8B,黑色
【NEW BALANCE】NB 550系列 運動鞋/復古鞋_女鞋_米杏色_BBW550DB-B,NEW BALANCE,"2,944",https://m.momoshop.com.tw/goods.momo?i_code=11142537&mdiv=searchEngine&oid=5_6&kw=%E5%A5%B3%E9%9E%8B,米色
【FAIR LADY】超好搭 都會休閒鞋/小白鞋(多款、502194、502389、502388),FAIR LADY,"4,580",https://m.momoshop.com.tw/goods.momo?i_code=11222923&mdiv=searchEngine&oid=18_8&kw=%E5%A5%B3%E9%9E%8B,黑色紅色綠色棕色/咖啡色卡其色多色
【FILA】休閒鞋 Hidden Tape 5 女鞋 奶油白 米色 老爹鞋 基本款 厚底 皮革 增高(5J929W177),FILA,"1,580",https://m.momoshop.com.tw/goods.momo?i_code=10808835&mdiv=searchEngine&oid=17_15&kw=%E5%A5%B3%E9%9E%8B,米色
【NIKE 耐吉】復古休閒鞋 Wmns V2K Run 女鞋 黑 全黑 Y2K 網布(FD0736-001),NIKE ,"3,180",https://m.momoshop.com.tw/goods.momo?i_code=12074775&mdiv=searchEngine&oid=14_18&kw=%E5%A5%B3%E9%9E%8B,黑色
【PUMA官方旗艦】Cassia Via 流行休閒鞋 女性 38922303,PUMA,"2,580",https://m.momoshop.com.tw/goods.momo?i_code=10983221&mdiv=searchEngine&oid=12_13&kw=%E5%A5%B3%E9%9E%8B,棕色/咖啡色
【CONVERSE】休閒鞋 女鞋 帆布鞋 運動 高筒 厚底 RUN STAR HIKE HI BLACK/WHITE/GUM 黑 166800C,CONVERSE,"1,988",https://m.momoshop.com.tw/goods.momo?i_code=9043185&mdiv=searchEngine&oid=28_13&kw=%E5%A5%B3%E9%9E%8B,黑色
【GREEN PHOENIX 波兒德】女 休閒鞋 懶人鞋 厚底鞋 小白鞋 氣墊 蕾絲 水鑽(白色、黑色),GREEN PHOENIX ,"1,635",https://m.momoshop.com.tw/goods.momo?i_code=11508624&mdiv=searchEngine&oid=28_9&kw=%E5%A5%B3%E9%9E%8B,黑色白色米色
【NEW BALANCE】NB 550系列 復古運動鞋_女鞋_BBW550BD-B_BBW550BB-B_BBW550AA-B_BBW550AB-B(多款可選),NEW BALANCE,"3,280",https://m.momoshop.com.tw/goods.momo?i_code=10878845&mdiv=searchEngine&oid=21_4&kw=%E5%A5%B3%E9%9E%8B,灰色米色粉紅色
【NIKE 耐吉】COURT VISION 女 休閒鞋 -4款任選(DH3158101&FN7141100&DH3158102),NIKE ,"1,211",https://m.momoshop.com.tw/goods.momo?i_code=12012205&mdiv=searchEngine&oid=20_20&kw=%E5%A5%B3%E9%9E%8B,黑色白色桃色粉紅色多色
